GENE_NAME	CHROM
PLOD1	chr1
MFN2	chr1
RP5-1077B9.5	chr1
MIIP	chr1
Y_RNA	chr1
MIR6729	chr1
RN7SL649P	chr1
TNFRSF8	chr1
RNU6-777P	chr1
RPL23AP89	chr1
MIR7846	chr1
TNFRSF1B	chr1
MIR4632	chr1
RPL10P17	chr1
SNORA70	chr1
VPS13D	chr1
SNORA59A	chr1
RP5-888M10.2	chr1
DHRS3	chr1
RNU6ATAC18P	chr1
MIR6730	chr1
RP11-474O21.5	chr1
AADACL4	chr1
RP11-474O21.2	chr1
AADACL3	chr1
C1orf158	chr1
PRAMEF12	chr1
PRAMEF1	chr1
LINC01784	chr1
PRAMEF11	chr1
PRAMEF30P	chr1
HNRNPCL1	chr1
PRAMEF2	chr1
PRAMEF4	chr1
PRAMEF10	chr1
PRAMEF7	chr1
RNU6-1072P	chr1
PRAMEF29P	chr1
PRAMEF6	chr1
PRAMEF28P	chr1
PRAMEF27	chr1
HNRNPCL3	chr1
PRAMEF25	chr1
PRAMEF34P	chr1
PRAMEF35P	chr1
HNRNPCL2	chr1
PRAMEF36P	chr1
RP13-221M14.2	chr1
PRAMEF26	chr1
HNRNPCL4	chr1
PRAMEF9	chr1
PRAMEF13	chr1
PRAMEF18	chr1
PRAMEF31P	chr1
PRAMEF5	chr1
PRAMEF32P	chr1
RNU6-771P	chr1
PRAMEF8	chr1
PRAMEF33	chr1
PRAMEF15	chr1
RP11-219C24.10	chr1
PRAMEF14	chr1
PRAMEF19	chr1
PRAMEF17	chr1
PRAMEF20	chr1
LRRC38	chr1
RP4-597A16.2	chr1
BRWD1P1	chr1
PDPN	chr1
RNA5SP41	chr1
CTA-520D8.2	chr1
SCARNA11	chr1
PRDM2	chr1
KAZN	chr1
RNU6-1265P	chr1
RP11-344F13.1	chr1
RP4-704D23.1	chr1
TBCAP2	chr1
TMEM51-AS1	chr1
TMEM51	chr1
C1orf195	chr1
RP1-21O18.3	chr1
RP5-903E17.2	chr1
FHAD1	chr1
RP3-467K16.2	chr1
RP3-467K16.7	chr1
RP3-467K16.4	chr1
EFHD2	chr1
CTRC	chr1
CELA2A	chr1
CELA2B	chr1
CASP9	chr1
DNAJC16	chr1
SCARNA21	chr1
RP4-680D5.8	chr1
AGMAT	chr1
RP4-680D5.2	chr1
CHCHD2P6	chr1
RNU7-179P	chr1
CD24P1	chr1
DDI2	chr1
RP4-680D5.9	chr1
PLEKHM2	chr1
RP11-288I21.1	chr1
SLC25A34	chr1
RP11-169K16.4	chr1
TMEM82	chr1
FBLIM1	chr1
RPL12P14	chr1
UQCRHL	chr1
RP11-169K16.8	chr1
FLJ37453	chr1
SPEN	chr1
RP1-134O19.3	chr1
ZBTB17	chr1
RP11-5P18.1	chr1
RP11-5P18.3	chr1
RP11-5P18.11	chr1
TBC1D3P6	chr1
C1orf64	chr1
HSPB7	chr1
CLCNKA	chr1
RP11-5P18.10	chr1
CLCNKB	chr1
FAM131C	chr1
EPHA2	chr1
RP11-276H7.2	chr1
RP11-276H7.3	chr1
ARHGEF19	chr1
ANO7L1	chr1
RSG1	chr1
MT1XP1	chr1
FBXO42	chr1
SZRD1	chr1
RP11-430L17.1	chr1
SPATA21	chr1
NECAP2	chr1
LINC01772	chr1
CROCCP3	chr1
RNU1-1	chr1
RP4-798A10.7	chr1
RP4-798A10.4	chr1
LINC01783	chr1
RNU1-6P	chr1
FAM231B	chr1
RP5-875O13.6	chr1
NBPF1	chr1
RP5-1182A14.5	chr1
CROCCP2	chr1
MST1P2	chr1
RP1-163M9.8	chr1
RNU1-3	chr1
FAM231A	chr1
RP5-875O13.7	chr1
EIF1AXP1	chr1
ESPNP	chr1
RP1-163M9.7	chr1
FAM231C	chr1
RP5-1182A14.7	chr1
CROCC	chr1
CROCCP4	chr1
RNU1-4	chr1
MST1L	chr1
RP11-108M9.1	chr1
RP11-108M9.2	chr1
MIR3675	chr1
RP11-108M9.3	chr1
RP11-108M9.4	chr1
RP11-108M9.5	chr1
RNU1-2	chr1
RP11-108M9.6	chr1
MFAP2	chr1
RP1-37C10.3	chr1
ATP13A2	chr1
SDHB	chr1
PADI2	chr1
RP11-380J14.1	chr1
RP11-380J14.4	chr1
PADI1	chr1
PADI3	chr1
MIR3972	chr1
PADI4	chr1
PADI6	chr1
RCC2	chr1
ARHGEF10L	chr1
RP11-473A10.2	chr1
ACTL8	chr1
LINC01654	chr1
IGSF21	chr1
RP11-174G17.3	chr1
RP11-174G17	chr1
RP11-422P22.1	chr1
KLHDC7A	chr1
DYNLL1P3	chr1
RP1-8B22.2	chr1
PAX7	chr1
TAS1R2	chr1
ALDH4A1	chr1
MIR4695	chr1
MIR1290	chr1
IFFO2	chr1
RP5-1126H10.2	chr1
UBR4	chr1
RP1-43E13.2	chr1
EMC1	chr1
MRTO4	chr1
AKR7L	chr1
AKR7A3	chr1
RP4-657E11.10	chr1
AKR7A2	chr1
RNU6-1099P	chr1
PQLC2	chr1
CAPZB	chr1
RN7SL277P	chr1
RNU4-28P	chr1
RP5-1056L3.1	chr1
MINOS1	chr1
RP5-1056L3.3	chr1
NBL1	chr1
HTR6	chr1
TMCO4	chr1
RNF186	chr1
RP11-91K11.2	chr1
OTUD3	chr1
PLA2G2E	chr1
RN7SL304P	chr1
PLA2G2A	chr1
PLA2G5	chr1
PLA2G2D	chr1
PLA2G2F	chr1
RP3-340N1.2	chr1
PLA2G2C	chr1
UBXN10-AS1	chr1
UBXN10	chr1
LINC01757	chr1
VWA5B1	chr1
RP4-745E8.2	chr1
LINC01141	chr1
RP4-749H3.2	chr1
CAMK2N1	chr1
MUL1	chr1
RPS4XP4	chr1
FAM43B	chr1
CDA	chr1
PINK1	chr1
PINK1-AS	chr1
DDOST	chr1
KIF17	chr1
RP5-930J4.5	chr1
SH2D5	chr1
RP5-930J4.2	chr1
HP1BP3	chr1
EIF4G3	chr1
RNU7-200P	chr1
MIR1256	chr1
RPS15AP6	chr1
RP11-487E1.2	chr1
HSPE1P27	chr1
ECE1	chr1
RP3-329E20.2	chr1
RP5-1071N3.1	chr1
PPP1R11P1	chr1
RP11-293F5.8	chr1
RP11-293F5.1	chr1
NBPF2P	chr1
HS6ST1P1	chr1
CROCCP5	chr1
NBPF3	chr1
PFN1P10	chr1
ALPL	chr1
RP11-63N8.3	chr1
RAP1GAP	chr1
USP48	chr1
RP11-132G19.3	chr1
LDLRAD2	chr1
HSPG2	chr1
RP11-26H16.1	chr1
RP11-26H16.4	chr1
CELA3B	chr1
RN7SL386P	chr1
RNU6-1022P	chr1
CELA3A	chr1
RN7SL186P	chr1
RNU6-776P	chr1
LINC01635	chr1
LINC00339	chr1
CDC42	chr1
CDC42-IT1	chr1
RP1-224A6.8	chr1
RP1-224A6.9	chr1
WNT4	chr1
MIR4418	chr1
RP11-415K20.1	chr1
RP11-415K20.2	chr1
ZBTB40	chr1
ZBTB40-IT1	chr1
EPHA8	chr1
MIR6127	chr1
C1QA	chr1
C1QC	chr1
C1QB	chr1
EPHB2	chr1
MIR4684	chr1
RP11-69E9.1	chr1
MIR4253	chr1
LACTBL1	chr1
C1orf234	chr1
KDM1A	chr1
RP1-184J9.2	chr1
MIR3115	chr1
MIR4419A	chr1
LUZP1	chr1
RP5-979D14.1	chr1
RNU6-514P	chr1
RNU6-135P	chr1
HTR1D	chr1
RP5-1057J7.1	chr1
LINC01355	chr1
HNRNPR	chr1
ZNF436	chr1
ZNF436-AS1	chr1
RP5-1057J7.7	chr1
TCEA3	chr1
RP4-654C18.1	chr1
ASAP3	chr1
E2F2	chr1
RP1-150O5.3	chr1
ID3	chr1
MDS2	chr1
RP11-223J15.2	chr1
RPL11	chr1
ELOA	chr1
ELOA-AS1	chr1
PITHD1	chr1
LYPLA2	chr1
GALE	chr1
HMGCL	chr1
FUCA1	chr1
CNR2	chr1
BTBD6P1	chr1
RP11-4M23.3	chr1
MIR378F	chr1
RP11-4M23.4	chr1
PNRC2	chr1
SRSF10	chr1
RP11-4M23.7	chr1
RP11-293P20.2	chr1
MYOM3	chr1
RP11-293P20.4	chr1
IL22RA1	chr1
IFNLR1	chr1
RP11-10N16.2	chr1
RP11-10N16.3	chr1
GRHL3	chr1
STPG1	chr1
NIPAL3	chr1
RCAN3	chr1
RP4-594I10.3	chr1
NCMAP	chr1
RP11-496D1.2	chr1
Y_RNA	chr1
SRRM1	chr1
CLIC4	chr1
RNU6-1208P	chr1
RUNX3	chr1
MIR6731	chr1
RP11-84D1.1	chr1
RP11-84D1.2	chr1
MIR4425	chr1
RP4-799D16.1	chr1
RP4-781L3.1	chr1
RP4-706G24.1	chr1
SYF2	chr1
RSRP1	chr1
RP3-465N24.6	chr1
RP3-465N24.5	chr1
RHD	chr1
SDHDP6	chr1
RP11-335G20.7	chr1
TMEM50A	chr1
RHCE	chr1
RP3-469D22.1	chr1
TMEM57	chr1
LDLRAP1	chr1
RP11-70P17.1	chr1
MAN1C1	chr1
RP1-187B23.1	chr1
SELENON	chr1
RP1-317E23.3	chr1
MTFR1L	chr1
AUNIP	chr1
RP1-125I3.2	chr1
PAQR7	chr1
Y_RNA	chr1
STMN1	chr1
SNRPFP2	chr1
RP1-125I3.4	chr1
MIR3917	chr1
PAFAH2	chr1
RNU6-110P	chr1
SCARNA17	chr1
SCARNA18	chr1
EXTL1	chr1
SLC30A2	chr1
RP11-96L14.9	chr1
TRIM63	chr1
PDIK1L	chr1
FAM110D	chr1
RP11-96L14.8	chr1
RP11-96L14.7	chr1
ZNF593	chr1
CNKSR1	chr1
CATSPER4	chr1
RP11-231P20.2	chr1
RP11-231P20.6	chr1
CEP85	chr1
RP11-231P20.5	chr1
SH3BGRL3	chr1
UBXN11	chr1
CD52	chr1
AIM1L	chr1
RP11-569G9.7	chr1
ZNF683	chr1
LIN28A	chr1
DHDDS	chr1
RP3-476K8.4	chr1
RP3-476K8.3	chr1
HMGN2	chr1
DPPA2P2	chr1
RPS6KA1	chr1
MIR1976	chr1
RN7SL679P	chr1
Y_RNA	chr1
RNU7-29P	chr1
RP11-492M19.3	chr1
snoU13	chr1
RP4-785J1.1	chr1
RP5-968P14.2	chr1
ARID1A	chr1
PIGV	chr1
RN7SL165P	chr1
ZDHHC18	chr1
SFN	chr1
GPN2	chr1
GPATCH3	chr1
NUDC	chr1
NR0B2	chr1
KDF1	chr1
RPL12P13	chr1
RP11-344H11.5	chr1
OSTCP2	chr1
TRNP1	chr1
FAM46B	chr1
SLC9A1	chr1
RP11-40H20.5	chr1
CHCHD3P3	chr1
NPM1P39	chr1
SNRPEP7	chr1
RP11-40H20.4	chr1
WDTC1	chr1
Y_RNA	chr1
RP11-4K3__A.3	chr1
TMEM222	chr1
RNU6-48P	chr1
ACTG1P20	chr1
SYTL1	chr1
MAP3K6	chr1
FCN3	chr1
CD164L2	chr1
RP1-144C9.2	chr1
GPR3	chr1
WASF2	chr1
RP4-752I6.1	chr1
RP1-159A19.4	chr1
AHDC1	chr1
FGR	chr1
RP1-159A19.3	chr1
RP11-288L9.1	chr1
IFI6	chr1
RP11-288L9.4	chr1
RNU6-949P	chr1
CHMP1AP1	chr1
RNU6-424P	chr1
FAM76A	chr1
RP3-426I6.2	chr1
RPEP3	chr1
STX12	chr1
RP3-426I6.5	chr1
RP3-426I6.6	chr1
RNU6-1245P	chr1
PPP1R8	chr1
SCARNA1	chr1
THEMIS2	chr1
RPA2	chr1
SMPDL3B	chr1
RP11-460I13.2	chr1
XKR8	chr1
EYA3	chr1
RP11-460I13.6	chr1
RN7SL559P	chr1
SPCS2P4	chr1
RP5-1053E7.2	chr1
RP5-1053E7.3	chr1
RNU6-176P	chr1
PTAFR	chr1
DNAJC8	chr1
ATPIF1	chr1
RP5-1092A3.4	chr1
RP5-1092A3.5	chr1
SESN2	chr1
MED18	chr1
PHACTR4	chr1
Y_RNA	chr1
RP1-308E4.1	chr1
RNU6ATAC27P	chr1
RCC1	chr1
SNORA73A	chr1
SNORA73B	chr1
PRDX3P2	chr1
RP4-669K10.8	chr1
TRNAU1AP	chr1
SNHG12	chr1
SNORD99	chr1
SNORA61	chr1
SNORA44	chr1
SNORA16A	chr1
TAF12	chr1
RAB42	chr1
LINC01715	chr1
RNU11	chr1
GMEB1	chr1
SCARNA24	chr1
YTHDF2	chr1
OPRD1	chr1
RP1-212P9.3	chr1
Y_RNA	chr1
EPB41	chr1
RP4-604A21.1	chr1
Y_RNA	chr1
Metazoa_SRP	chr1
TMEM200B	chr1
RP11-242O24.3	chr1
SRSF4	chr1
uc_338	chr1
MECR	chr1
RP11-467D18.2	chr1
PTPRU	chr1
LINC01756	chr1
RP11-810H18.1	chr1
RP4-656G21.1	chr1
RP11-179G8.1	chr1
LINC01648	chr1
RP5-893G23.1	chr1
RP3-357I16.1	chr1
RP4-591L5.1	chr1
RP4-591L5.2	chr1
MATN1	chr1
MATN1-AS1	chr1
LAPTM5	chr1
MIR4420	chr1
RP5-1125N11.1	chr1
LINC01778	chr1
RN7SKP91	chr1
RP1-65J11.5	chr1
SDC3	chr1
RN7SL371P	chr1
PUM1	chr1
RP11-201O14.1	chr1
RP11-201O14.2	chr1
SELENOWP1	chr1
RP11-490K7.1	chr1
NKAIN1	chr1
SNRNP40	chr1
RP11-490K7.4	chr1
ZCCHC17	chr1
RP11-266K22.2	chr1
FABP3	chr1
SERINC2	chr1
RP11-439L8.2	chr1
RNU6-40P	chr1
LINC01225	chr1
Y_RNA	chr1
LINC01226	chr1
RP11-73M7.1	chr1
TINAGL1	chr1
HCRTR1	chr1
PEF1	chr1
RP11-73M7.6	chr1
RP11-73M7.9	chr1
COL16A1	chr1
ADGRB2	chr1
MIR4254	chr1
RP11-84A19.3	chr1
SPOCD1	chr1
RP11-84A19.2	chr1
RP11-84A19.4	chr1
PTP4A2	chr1
RP4-534N18.2	chr1
KHDRBS1	chr1
RP11-277A4.4	chr1
TMEM39B	chr1
MIR5585	chr1
Metazoa_SRP	chr1
KPNA6	chr1
TXLNA	chr1
CCDC28B	chr1
RP4-622L5.7	chr1
IQCC	chr1
DCDC2B	chr1
TMEM234	chr1
EIF3I	chr1
MTMR9LP	chr1
FAM167B	chr1
LCK	chr1
Metazoa_SRP	chr1
Y_RNA	chr1
HDAC1	chr1
MARCKSL1	chr1
RP4-811H24.9	chr1
TSSK3	chr1
FAM229A	chr1
BSDC1	chr1
GAPDHP20	chr1
RP11-395N6.4	chr1
LRRC37A12P	chr1
RN7SL122P	chr1
ZBTB8B	chr1
ZBTB8A	chr1
ZBTB8OS	chr1
Y_RNA	chr1
RBBP4	chr1
SYNC	chr1
RP11-114B7.6	chr1
KIAA1522	chr1
YARS	chr1
S100PBP	chr1
FNDC5	chr1
HPCA	chr1
TMEM54	chr1
RNF19B	chr1
RP5-1174N9.2	chr1
RP4-803A2.1	chr1
RP4-803A2.2	chr1
RP1-117O3.2	chr1
AK2	chr1
Metazoa_SRP	chr1
AZIN2	chr1
RP11-131M11.2	chr1
TRIM62	chr1
RP11-131M11.3	chr1
ZNF362	chr1
RP11-415J8.7	chr1
A3GALT2	chr1
RP11-415J8.3	chr1
PHC2	chr1
MIR3605	chr1
RN7SKP16	chr1
RP11-415J8.5	chr1
TLR12P	chr1
ZSCAN20	chr1
RP4-580O19.2	chr1
CSMD2	chr1
HSPD1P14	chr1
HMGB4	chr1
CSMD2-AS1	chr1
RNA5SP42	chr1
C1orf94	chr1
RP4-657M3.2	chr1
MIR552	chr1
SMIM12	chr1
GJB5	chr1
GJB4	chr1
RP1-34M23.5	chr1
GJB3	chr1
GJA4	chr1
RP5-997D16.2	chr1
DLGAP3	chr1
RP11-244H3.1	chr1
TMEM35B	chr1
ZMYM6	chr1
RPL12P45	chr1
ZMYM1	chr1
EFCAB14P1	chr1
SFPQ	chr1
Y_RNA	chr1
ZMYM4	chr1
RN7SL503P	chr1
SNORA62	chr1
RPL5P4	chr1
ZMYM4-AS1	chr1
Metazoa_SRP	chr1
KIAA0319L	chr1
RP4-728D4.3	chr1
NCDN	chr1
RP4-728D4.2	chr1
TFAP2E	chr1
PSMB2	chr1
C1orf216	chr1
CLSPN	chr1
RP11-435D7.3	chr1
AGO4	chr1
AGO1	chr1
RP4-789D17.4	chr1
AGO3	chr1
RP4-665N4.8	chr1
RP4-665N4.4	chr1
TEKT2	chr1
ADPRHL2	chr1
COL8A2	chr1
TRAPPC3	chr1
MAP7D1	chr1
RN7SL131P	chr1
THRAP3	chr1
UBE2V2P4	chr1
SH3D21	chr1
EVA1B	chr1
RP11-268J15.5	chr1
STK40	chr1
LSM10	chr1
RNU4-27P	chr1
OSCP1	chr1
SNORA63	chr1
MRPS15	chr1
CSF3R	chr1
FTLP18	chr1
RP4-614N24.1	chr1
GRIK3	chr1
MIR4255	chr1
RNU6-636P	chr1
RP5-1180C18.1	chr1
RNA5SP43	chr1
RPS29P6	chr1
LINC01137	chr1
ZC3H12A	chr1
MIR6732	chr1
MEAF6	chr1
MIR5581	chr1
SNIP1	chr1
FTH1P1	chr1
RP3-423B22.5	chr1
DNALI1	chr1
GNL2	chr1
RSPO1	chr1
C1orf109	chr1
CDCA8	chr1
EPHA10	chr1
Y_RNA	chr1
ACTN4P2	chr1
RP11-109P14.2	chr1
MANEAL	chr1
YRDC	chr1
C1orf122	chr1
MTF1	chr1
RP11-109P14.8	chr1
INPP5B	chr1
SNORA63	chr1
RNU6-584P	chr1
Metazoa_SRP	chr1
SF3A3	chr1
RNU6-510P	chr1
FHL3	chr1
UTP11	chr1
POU3F1	chr1
RP5-884C9.2	chr1
RP5-884C9.3	chr1
MIR3659	chr1
LINC01343	chr1
RP11-329N22.2	chr1
RNU6-753P	chr1
LINC01685	chr1
RP11-334L9.1	chr1
RRAGC	chr1
RP5-864K19.4	chr1
MYCBP	chr1
GJA9	chr1
RHBDL2	chr1
RNU6-605P	chr1
Y_RNA	chr1
EIF1P2	chr1
AKIRIN1	chr1
NDUFS5	chr1
MACF1	chr1
RNU6-608P	chr1
RNA5SP44	chr1
RP11-416A14.1	chr1
RP11-420K8.1	chr1
HSPE1P8	chr1
BMP8A	chr1
OXCT2P1	chr1
RP11-69E11.4	chr1
PPIEL	chr1
PABPC4	chr1
RP11-69E11.8	chr1
SNORA55	chr1
HEYL	chr1
RP1-144F13.3	chr1
NT5C1A	chr1
HPCAL4	chr1
PPIE	chr1
RP1-144F13.4	chr1
RNU7-121P	chr1
BMP8B	chr1
OXCT2	chr1
RP1-118J21.25	chr1
RP1-118J21.24	chr1
TRIT1	chr1
Y_RNA	chr1
MYCL	chr1
RP1-118J21.5	chr1
Y_RNA	chr1
MFSD2A	chr1
RP3-342P20.2	chr1
CAP1	chr1
PPT1	chr1
RP11-115D7.3	chr1
RLF	chr1
RNU6-1237P	chr1
TMCO2	chr1
RP1-39G22.7	chr1
ZMPSTE24	chr1
RP1-39G22.4	chr1
COL9A2	chr1
RP1-228H13.1	chr1
SMAP2	chr1
RP1-228H13.2	chr1
ZFP69B	chr1
RP1-228H13.5	chr1
RP11-656D10.7	chr1
ZFP69	chr1
RP11-656D10.3	chr1
EXO5	chr1
RP11-656D10.5	chr1
RP11-656D10.6	chr1
ZNF684	chr1
RP1-63P18.2	chr1
GTF2F2P2	chr1
RIMS3	chr1
RP4-739H11.3	chr1
NFYC-AS1	chr1
NFYC	chr1
MIR30E	chr1
MIR30C1	chr1
